Semanas_2021;Casos_Confirmados;Casos_Muerte
1;221506;14184
2;231644;14322
3;241567;14639
4;250986;14890
5;258607;15013
6;267701;15355
7;274968;15547
8;286367;15832
9;294618;16043
10;302498;16240
11;312851;16478
12;325124;16746
13;336777;16987
14;347070;17298
15;366563;17703
16;374775;18300
17;388046;18765
18;402060;19242
19;410876;19786
20;424635;20210
21;426037;20572
22;432739;20814
23;439139;21051
24;446633;21304
25;455743;21523
26;462649;21695
27;468414;21830
28;476312;21958
29;480720;30979
30;487702;31644
